,first,second,AB,A~B,~AB,~A~B,chisquare,percentDependence
19924,temp_increased,bearing_temp_increased,7,55,0,1063,103.1989333,11.29032258
19925,temp_increased,bearing_temperature_increased,21,41,0,1063,348.6397813,33.87096774
19987,temp_increased,drain_temp_increased,7,55,0,1063,103.1989333,11.29032258
20016,temp_increased,fan,6,56,35,1028,5.104211182,6.18556701
20093,temp_increased,ib_bearing_temp,7,55,12,1051,30.56871494,9.459459459
20096,temp_increased,increase,61,1,280,783,140.5666807,17.83625731
20136,temp_increased,metal_temp_increased,9,53,0,1063,137.7970973,14.51612903
20157,temp_increased,ob_bearing_temp,9,53,14,1049,44.58547475,11.84210526
20250,temp_increased,temp_increased,62,0,0,1063,1105.878463,100
20300,temperature,active_thrust_bearing,11,364,2,748,13.31735093,2.917771883
20305,temperature,air_temp,6,369,2,748,4.547966092,1.591511936
20306,temperature,ambient,19,356,3,747,26.01440802,5.026455026
20308,temperature,ambient_temperature,11,364,1,749,16.0145721,2.925531915
20317,temperature,bearing,75,300,79,671,18.16988528,16.51982379
20320,temperature,bearing_metal_temp,110,265,22,728,165.7007433,27.70780856
20383,temperature,discharge_temperature,17,358,4,746,19.70715256,4.485488127
20384,temperature,drain,14,361,8,742,7.93355415,3.65535248
20386,temperature,drain_temperature,6,369,0,750,9.236762735,1.6
20411,temperature,exhaust_temp,16,359,3,747,20.24320096,4.232804233
20433,temperature,flue_gas,7,368,2,748,6.174395161,1.856763926
20450,temperature,gas_outlet_temp,9,366,1,749,12.12023543,2.393617021
20455,temperature,gas_turbine,11,364,6,744,6.278701688,2.887139108
20474,temperature,high,67,308,76,674,12.78709516,14.85587583
20491,temperature,ib_bearing_temp,11,364,8,742,4.182479537,2.872062663
20495,temperature,inlet,22,353,14,736,11.65418388,5.655526992
20503,temperature,inlet_temperature,8,367,1,749,10.20665323,2.127659574
20533,temperature,metal_temp,50,325,3,747,90.29394229,13.22751323
20537,temperature,model,86,289,108,642,12.16553326,17.80538302
20555,temperature,ob_bearing_temp,14,361,9,741,6.796560601,3.645833333
20557,temperature,oil,16,359,14,736,4.661815068,4.11311054
20565,temperature,oil_temp,8,367,0,750,13.2347387,2.133333333
20567,temperature,outlet,7,368,3,747,4.552970852,1.851851852
20568,temperature,outlet_temp,30,345,5,745,42.20224443,7.894736842
20578,temperature,pressure,26,349,119,631,16.98286858,5.263157895
20587,temperature,pump_ib,6,369,2,748,4.547966092,1.591511936
20625,temperature,stage,24,351,24,726,5.508465355,6.015037594
20628,temperature,stator_temp,8,367,4,746,4.643278302,2.110817942
20633,temperature,steam_temp,6,369,0,750,9.236762735,1.6
20639,temperature,suction_temperature,7,368,0,750,11.23059353,1.866666667
20642,temperature,supply,10,365,0,750,17.26597534,2.666666667
20649,temperature,temperature,375,0,0,750,1120.5045,100
20655,temperature,thrust_bearing,16,359,3,747,20.24320096,4.232804233
20657,temperature,thrust_bearing_temp,16,359,4,746,17.87401018,4.221635884
20672,temperature,valve,7,368,46,704,9.209828657,1.662707838
20673,temperature,valve_position,6,369,35,715,5.850410067,1.463414634
20688,temperature,water,9,366,4,746,6.07987168,2.374670185
20691,temperature,wheelspace,10,365,1,749,14.05790966,2.659574468
21447,temperature_spread,temperature_spread,6,0,0,1119,944.3911428,100
22129,thermocouple,model,6,9,188,922,4.018576816,2.955665025
22245,thermocouple,thermocouple,15,0,0,1110,1050.270499,100
22644,thrust,thrust,6,0,0,1119,944.3911428,100
22688,thrust_bearing,active_thrust_bearing,6,13,7,1099,130.6897886,23.07692308
22705,thrust_bearing,bearing,14,5,140,966,53.82586883,8.805031447
22708,thrust_bearing,bearing_metal_temp,10,9,122,984,27.32587821,7.092198582
22921,thrust_bearing,metal_temp,6,13,47,1059,25.2881172,9.090909091
23037,thrust_bearing,temperature,16,3,359,747,20.24320096,4.232804233
23043,thrust_bearing,thrust_bearing,19,0,0,1106,1065.578378,100
23484,thrust_bearing_temp,active_thrust_bearing,9,11,4,1101,304.7273722,37.5
23501,thrust_bearing_temp,bearing,8,12,146,959,9.771126986,4.819277108
23504,thrust_bearing_temp,bearing_metal_temp,14,6,118,987,61.1436665,10.14492754
23721,thrust_bearing_temp,model,9,11,185,920,9.100970919,4.390243902
23833,thrust_bearing_temp,temperature,16,4,359,746,17.87401018,4.221635884
23841,thrust_bearing_temp,thrust_bearing_temp,20,0,0,1105,1068.460708,100
24639,thrust_position,thrust_position,8,0,0,1117,987.8255423,100
25038,train,train,6,0,0,1119,944.3911428,100
25836,ttd,ttd,7,0,0,1118,969.0913498,100
27172,turbine,exhaust,6,42,15,1062,25.18157492,9.523809524
27412,turbine,tag,8,40,63,1014,7.356076671,7.207207207
27432,turbine,turbine,48,0,0,1077,1100.651125,100
29482,valve,bleed_heat_vlv,8,45,3,1069,99.68758604,14.28571429
29511,valve,control_valve,15,38,0,1072,286.3591982,28.30188679
29530,valve,differential,10,43,15,1057,63.11503612,14.70588235
29591,valve,fuel_gas_control,6,47,0,1072,101.6021141,11.32075472
29600,valve,gas_control_valve,6,47,0,1072,101.6021141,11.32075472
29651,valve,inlet_bleed_heat,7,46,2,1070,92.1118996,12.72727273
29803,valve,temperature,7,46,368,704,9.209828657,1.662707838
